library,term,pvalue,odds_ratio,combined_score,overlap_genes,adj_pvalue
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),0.4580422225383953,1.6535953177257525,1.2911171539636295,HMGB2,0.5102472330358339
Reactome_2022,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.4580422225383953,1.6535953177257525,1.2911171539636295,CENPP,0.5658914993133637
KEGG_2021_Human,Lipid and atherosclerosis,0.41222277333195695,1.4307238781526368,1.2678951447925606,VCAM1;DDIT3,0.5584953703207158
GO_Biological_Process_2023,Sphingolipid Metabolic Process (GO:0006665),0.46160862222211885,1.6357320099255583,1.2644828133338064,TEX2,0.5113655706302277
GO_Biological_Process_2023,Peptidyl-Lysine Modification (GO:0018205),0.46160862222211885,1.6357320099255583,1.2644828133338064,EGR2,0.5113655706302277
GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),0.46160862222211885,1.6357320099255583,1.2644828133338064,KLF9,0.5113655706302277
GO_Biological_Process_2023,"Retrograde Transport, Endosome To Golgi (GO:0042147)",0.46160862222211885,1.6357320099255583,1.2644828133338064,RAB7B,0.5113655706302277
KEGG_2021_Human,Pathways of neurodegeneration,0.37802967249440805,1.29715632679673,1.2618510883377585,GPX3;DDIT3;FZD8;TUBA4A,0.5455606810078915
Reactome_2022,UCH Proteinases R-HSA-5689603,0.4651517307541396,1.6182487725040917,1.2385940558980708,TGFBR2,0.5683771833324556
Reactome_2022,Metabolism Of Nucleotides R-HSA-15869,0.4651517307541396,1.6182487725040917,1.2385940558980708,SAMHD1,0.5683771833324556
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),0.4651517307541396,1.6182487725040917,1.2385940558980708,FLRT3,0.5135859974141974
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),0.4651517307541396,1.6182487725040917,1.2385940558980708,RHOB,0.5135859974141974
GO_Biological_Process_2023,Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),0.4651517307541396,1.6182487725040917,1.2385940558980708,TGFBR2,0.5135859974141974
Reactome_2022,Transcriptional Regulation By RUNX3 R-HSA-8878159,0.4651517307541396,1.6182487725040917,1.2385940558980708,FOXO3,0.5683771833324556
Reactome_2022,Biological Oxidations R-HSA-211859,0.419033790036336,1.410637381567614,1.2269776390023701,NNMT;MAOA,0.5512951927911677
Reactome_2022,Disease R-HSA-1643685,0.3488348691535986,1.160264418584062,1.221940156909697,CEBPD;MAOA;ABCA4;FZD8;AGTRAP;IRS2;BRCA1;FOXO3;SAP30;TGFBR2;DUSP10;ADAMTS1;AP1M1,0.5091751806693622
GO_Biological_Process_2023,Regulation Of Protein Metabolic Process (GO:0051246),0.4686716991821424,1.6011336032388663,1.2134235161728557,FOXO3,0.5159519979243175
Reactome_2022,Protein Folding R-HSA-391251,0.4686716991821424,1.6011336032388663,1.2134235161728557,TUBA4A,0.5691546760753926
KEGG_2021_Human,Dilated cardiomyopathy,0.4686716991821424,1.6011336032388663,1.2134235161728557,CACNB2,0.5790097650624597
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),0.4686716991821424,1.6011336032388663,1.2134235161728557,TGFBR2,0.5159519979243175
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,0.3819656156507201,1.2444418592627062,1.1976815654126831,FGD4;TRPC6;ARHGEF2;RASGRP2;RHOB,0.5290579645348484
Reactome_2022,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,0.47216867746164864,1.584375,1.1889450868592453,TUBA4A,0.5691546760753926
Reactome_2022,Potential Therapeutics For SARS R-HSA-9679191,0.47216867746164864,1.584375,1.1889450868592453,SAP30,0.5691546760753926
KEGG_2021_Human,Prostate cancer,0.47216867746164864,1.584375,1.1889450868592453,CREB3L1,0.5790097650624597
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,0.47216867746164864,1.584375,1.1889450868592453,MARCKS,0.5790097650624597
Reactome_2022,EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,0.47216867746164864,1.584375,1.1889450868592453,CENPP,0.5691546760753926
GO_Biological_Process_2023,Regulation Of Defense Response (GO:0031347),0.47216867746164864,1.584375,1.1889450868592453,SAMHD1,0.5187855263605993
KEGG_2021_Human,Phosphatidylinositol signaling system,0.47216867746164864,1.584375,1.1889450868592453,IMPA2,0.5790097650624597
Reactome_2022,RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,0.47564281459284896,1.5679619349722442,1.1651338487722471,LDB2,0.5702599336247598
GO_Biological_Process_2023,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),0.47564281459284896,1.5679619349722442,1.1651338487722471,ACSL1,0.5220923082054318
KEGG_2021_Human,Aldosterone synthesis and secretion,0.47564281459284896,1.5679619349722442,1.1651338487722471,CREB3L1,0.5790434264608596
Reactome_2022,Visual Phototransduction R-HSA-2187338,0.47564281459284896,1.5679619349722442,1.1651338487722471,ABCA4,0.5702599336247598
Reactome_2022,L1CAM Interactions R-HSA-373760,0.4790942585697632,1.5518838304552591,1.141966005927008,DNM1,0.5718915036441897
